customer_state,nom_etat,lon,lat
AC,Acre,-70.364097,-9.841738
AL,Alagoas,-36.516294,-9.400937
AP,Amapa,-52.486549,2.022618
AM,Amazonas,-65.718425,-2.586048
BA,Bahia,-41.875067,-13.190362
CE,Ceara,-39.553232,-5.173712
DF,Distrito Federal,-47.638444,-15.834177
ES,Espirito Santo,-40.88299,-19.83546
GO,Goias,-49.097747,-15.798671
MA,Maranhao,-45.381453,-3.993443
MT,Mato Grosso,-56.507597,-14.477774
MS,Mato Grosso do Sul,-55.376654,-20.315638
MG,Minas Gerais,-44.842278,-18.454733
PA,Para,-52.007214,-0.949329
PB,Paraiba,-36.983684,-7.121675
PR,Parana,-51.19223,-25.102543
PE,Pernambuco,-37.66646,-8.233635
PI,Piaui,-43.111269,-7.118842
RJ,Rio de Janeiro,-43.396782,-22.550759
RN,Rio Grande do Norte,-36.74267,-5.973723
RS,Rio Grande do Sul,-53.185335,-30.201692
RO,Rondonia,-63.147212,-11.270519
RR,Roraima,-61.410404,2.901105
SC,Santa Catarina,-50.619194,-27.304491
SP,Sao Paulo,-47.416845,-22.906164
SE,Sergipe,-37.570421,-10.672513
TO,Tocantins,-48.037274,-10.41298
